#problem,x_k,p_x_k,y_k,p_y_k,z_k,p_z_k,x_u,p_x_u,y_u,p_y_u,corr,ev_u,p_win,probability_agent_answer,zero_one_agent_answer,p_win_agent_answer
1,5,0.5,23,0.1,-12,0.4,8,0.5,-10,0.5,1,-1,0.9,0.6,1,0.9
2,5,0.4,25,0.1,-9,0.5,6,0.5,-8,0.5,1,-1,0.9,0.6,1,0.9
3,5,0.5,15,0.1,-10,0.4,7,0.5,-9,0.5,1,-1,0.9,0.6,1,0.9
4,6,0.5,18,0.1,-12,0.4,8,0.5,-10,0.5,1,-1,0.9,0.6,1,0.9
5,6,0.5,30,0.1,-15,0.4,7,0.6,-13,0.4,1,-1,0.9,0.7,1,0.9
6,7,0.4,12,0.1,-8,0.5,8,0.4,-7,0.6,1,-1,0.9,0.5,1,0.9
7,8,0.3,24,0.1,-8,0.6,13,0.3,-7,0.7,1,-1,0.9,0.4,1,0.9
8,9,0.3,21,0.1,-8,0.6,13,0.3,-7,0.7,1,-1,0.9,0.4,1,0.9
9,9,0.5,15,0.1,-15,0.4,11,0.5,-13,0.5,1,-1,0.9,0.6,1,0.9
10,10,0.3,24,0.1,-9,0.6,13,0.3,-7,0.7,1,-1,0.9,0.4,1,0.9
11,11,0.4,16,0.1,-12,0.5,14,0.4,-11,0.6,1,-1,0.9,0.5,1,0.9
12,11,0.4,31,0.1,-15,0.5,12,0.5,-14,0.5,1,-1,0.9,0.6,1,0.9
13,12,0.4,17,0.1,-13,0.5,14,0.4,-11,0.6,1,-1,0.9,0.5,1,0.9
14,13,0.4,18,0.1,-14,0.5,17,0.4,-13,0.6,1,-1,0.9,0.5,1,0.9
15,15,0.3,21,0.1,-11,0.6,20,0.3,-10,0.7,1,-1,0.9,0.4,1,0.9
16,6,0.4,21,0.1,-9,0.5,7,0.4,-8,0.6,1,-2,0.9,0.3,1,0.9
17,6,0.5,18,0.1,-12,0.4,7,0.5,-11,0.5,1,-2,0.9,0.4,1,0.9
18,7,0.3,33,0.1,-9,0.6,12,0.3,-8,0.7,1,-2,0.9,0.2,1,0.9
19,7,0.4,27,0.1,-11,0.5,10,0.4,-10,0.6,1,-2,0.9,0.3,1,0.9
20,7,0.5,17,0.1,-13,0.4,8,0.5,-12,0.5,1,-2,0.9,0.4,1,0.9
21,7,0.5,25,0.1,-15,0.4,9,0.5,-13,0.5,1,-2,0.9,0.4,1,0.9
22,8,0.4,28,0.1,-12,0.5,10,0.4,-10,0.6,1,-2,0.9,0.3,1,0.9
23,8,0.4,43,0.1,-15,0.5,10,0.5,-14,0.5,1,-2,0.9,0.4,1,0.9
24,9,0.4,29,0.1,-13,0.5,13,0.4,-12,0.6,1,-2,0.9,0.3,1,0.9
25,9,0.5,15,0.1,-15,0.4,10,0.5,-14,0.5,1,-2,0.9,0.4,1,0.9
26,10,0.3,24,0.1,-9,0.6,12,0.3,-8,0.7,1,-2,0.9,0.2,1,0.9
27,10,0.4,35,0.1,-15,0.5,16,0.4,-14,0.6,1,-2,0.9,0.3,1,0.9
28,11,0.3,21,0.1,-9,0.6,12,0.3,-8,0.7,1,-2,0.9,0.2,1,0.9
29,12,0.4,27,0.1,-15,0.5,16,0.4,-14,0.6,1,-2,0.9,0.3,1,0.9
30,14,0.3,30,0.1,-12,0.6,19,0.3,-11,0.7,1,-2,0.9,0.2,1,0.9
31,5,0.5,23,0.1,-12,0.4,8,0.5,-10,0.5,-1,-1,0.4,0.6,0,0.4
32,5,0.4,25,0.1,-9,0.5,6,0.5,-8,0.5,-1,-1,0.5,0.6,0,0.5
33,5,0.5,15,0.1,-10,0.4,7,0.5,-9,0.5,-1,-1,0.4,0.6,0,0.4
34,6,0.5,18,0.1,-12,0.4,8,0.5,-10,0.5,-1,-1,0.4,0.6,0,0.4
35,6,0.5,30,0.1,-15,0.4,7,0.6,-13,0.4,-1,-1,0.5,0.7,0,0.5
36,7,0.4,12,0.1,-8,0.5,8,0.4,-7,0.6,-1,-1,0.5,0.5,0,0.5
37,8,0.3,24,0.1,-8,0.6,13,0.3,-7,0.7,-1,-1,0.6,0.4,0,0.6
38,9,0.3,21,0.1,-8,0.6,13,0.3,-7,0.7,-1,-1,0.6,0.4,0,0.6
39,9,0.5,15,0.1,-15,0.4,11,0.5,-13,0.5,-1,-1,0.4,0.6,0,0.4
40,10,0.3,24,0.1,-9,0.6,13,0.3,-7,0.7,-1,-1,0.6,0.4,0,0.6
41,11,0.4,16,0.1,-12,0.5,14,0.4,-11,0.6,-1,-1,0.5,0.5,0,0.5
42,11,0.4,31,0.1,-15,0.5,12,0.5,-14,0.5,-1,-1,0.5,0.6,0,0.5
43,12,0.4,17,0.1,-13,0.5,14,0.4,-11,0.6,-1,-1,0.5,0.5,0,0.5
44,13,0.4,18,0.1,-14,0.5,17,0.4,-13,0.6,-1,-1,0.5,0.5,0,0.5
45,15,0.3,21,0.1,-11,0.6,20,0.3,-10,0.7,-1,-1,0.6,0.4,0,0.6
46,6,0.4,21,0.1,-9,0.5,7,0.4,-8,0.6,-1,-2,0.5,0.3,0,0.5
47,6,0.5,18,0.1,-12,0.4,7,0.5,-11,0.5,-1,-2,0.4,0.4,0,0.4
48,7,0.3,33,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
49,7,0.4,27,0.1,-11,0.5,10,0.4,-10,0.6,-1,-2,0.5,0.3,0,0.5
50,7,0.5,17,0.1,-13,0.4,8,0.5,-12,0.5,-1,-2,0.4,0.4,0,0.4
51,7,0.5,25,0.1,-15,0.4,9,0.5,-13,0.5,-1,-2,0.4,0.4,0,0.4
52,8,0.4,28,0.1,-12,0.5,10,0.4,-10,0.6,-1,-2,0.5,0.3,0,0.5
53,8,0.4,43,0.1,-15,0.5,10,0.5,-14,0.5,-1,-2,0.5,0.4,0,0.5
54,9,0.4,29,0.1,-13,0.5,13,0.4,-12,0.6,-1,-2,0.5,0.3,0,0.5
55,9,0.5,15,0.1,-15,0.4,10,0.5,-14,0.5,-1,-2,0.4,0.4,0,0.4
56,10,0.3,24,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
57,10,0.4,35,0.1,-15,0.5,16,0.4,-14,0.6,-1,-2,0.5,0.3,0,0.5
58,11,0.3,21,0.1,-9,0.6,12,0.3,-8,0.7,-1,-2,0.6,0.2,0,0.6
59,12,0.4,27,0.1,-15,0.5,16,0.4,-14,0.6,-1,-2,0.5,0.3,0,0.5
60,14,0.3,30,0.1,-12,0.6,19,0.3,-11,0.7,-1,-2,0.6,0.2,0,0.6